Lemma,Gloss,Turkish lemmas (or gap),Target Gloss
shore,the land along the edge of a body of water,"kara, sahil, kıyı, yaka, yalı","Karanın deniz, göl, ırmak boyunca uzanan bölümü"
leave,"go and leave behind, either intentionally or by neglect or forgetfulness",ayrılmak ,"bir kimseden, bir şeyden, bir yerden uzaklaşmak veya (koca ya da karı) evlilik birliğini bozmak, boşanmak"
"price, terms, damage",the amount of money needed to purchase something,"fiyat, ödenek, bedel, eder",Bir mal veya hizmet için uygun görülen para karşılığı.
clay,a very fine-grained soil that is plastic when moist but hard when fired,kil,Islandığı zaman kolayca biçimlendirilebilen yumuşak ve yağlı toprak.
worm,any of numerous relatively small elongated soft-bodied animals especially of the phyla Annelida and Chaetognatha and Nematoda and Nemertea and Platyhelminthes; also many insect larvae,"solucan, kurt, kurtçuk",omurgasız yassı canlı
"pine, pine tree, true pine",a coniferous tree,"çam, çam ağacı","Çamgillerin örnek bitkisi olan, dört mevsim yeşil kalabilen, iğne yapraklı, yurdumuzda birçok türü yetişen bir orman ağacı (Pinus), "
"commercial enterprise, business enterprise, business",the activity of providing goods and services involving financial and commercial and industrial aspects,"iktisadi işletme, ticari şirket, ticari işletme","Tarım, sanayi, ticaret, bankacılık vb. iş alanlarında, kâr amacıyla bir sermaye yatırılarak kurulan kurum."
"decay, crumble, delapidate",fall into decay or ruin,"çürümek, ufalanmak, parçalanmak, harap olmak, çökmek, yıpranmak","Sağlamlığını, dayanıklılığını yitirmek."
sky,the atmosphere and outer space as viewed from the earth,gökyüzü,Atmosferin gözle görünen bölümü
"decompose, rot, molder, moulder",break down,"bozulmak, çürümek","(canlı ve cansız bütün nesneler için) eskime, bayatlama, yıpranma vb. gibi türlü doğal etkilerle ve en çok da mikropların etkisiyle, kimyasal değişikliğe uğrayarak bozulup dağılmak ya da kokuşmak."
"bite, seize with teeth","to grip, cut off, or tear with or as if with the teeth or jaws","ısırmak, parçalamak, koparmak,kemirmek","Dişleri arasına alıp sıkmak, koparmak"
"sister, sis",a female person who has the same parents as another person,,
press,exert pressure or force to or upon,"bastırmak, basmak",Bir şeyi üzerine kuvvet vererek itmek
"pull, draw, force",cause to move by pulling,"çekmek, asılmak",Bir şeyi tutup kendine veya başka bir yöne doğru yürütmek.
right,being or located on or directed toward the side of the body to the east when facing north,sağ,"Vücutta kalbin bulunduğu tarafın karşısında olan, sol karşıtı."
"transport, carry","move while supporting, either in a vehicle or in one's hands or on one's body","taşımak, götürmek, ulaştırmak",Bir şeyi bir yerden alıp başka bir yere götürmek
spark,a small fragment of a burning substance thrown out by burning material or by friction,kıvılcım,"Yanmakta olan bir maddeden sıçrayan küçük ateş parçası; çakım, çakın, çıngı, şerare."
sweet,having or denoting the characteristic taste of sugar,tatlı,Şeker tadında olan.
"nose, olfactory organ",the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals,burun,"Alınla üst dudak arasında bulunan, çıkıntılı, iki delikli koklama ve solunum organı; koku alma organı."
left,being or located on or directed toward the side of the body to the west when facing north,sol,"Vücutta kalbin bulunduğu tarafta olan, sağ karşıtı."
sour,having a sharp biting taste,ekşi,Sirke veya limon tadında olan.
"spring, fountain, outflow, outpouring, natural spring",a natural flow of ground water,"kaynak, pınar, doğal kaynak, kaynak suyu",Bir suyun çıktığı yer
"pluck, plunk, pick",pull lightly but sharply with a plucking motion,GAP,
"chin, mentum",the protruding part of the lower jaw,çene,"Canlılarda baş bölümünde yer alan, kemik veya kıkırdak ile desteklenen, altlı üstlü dişleri taşıyan ve ağzın kapanıp açılmasını sağlayan kasları üzerinde barındıran iki parçaya verilen ad."
star,any celestial body visible (as a point of light) from the Earth at night,yıldız,"Çekirdeğinde oluşan füzyon sonucunda açığa çıkan enerjiyi uzaya ışınım biçiminde yayan, ışıklı gök cisimlerinden her biri."
force,a powerful effect or influence,"etki, tesir",Bir kimse veya nesnenin başka bir kişi veya şey üzerindeki etkileme gücü
"face, human face",the front of the human head from the forehead to the chin and ear to ear,"yüz, surat","Başta, alın, göz, burun, ağız, yanak ve çenenin bulunduğu ön bölüm."
"push, force",move with force,"itmek, ittirmek",Bir şeyi güç uygulayarak ileri götürmek
"lug, tote, tug",carry with difficulty,GAP,
read,interpret something that is written or printed,okumak,"Bir metni sadece harf ve işaretlere bakıp anlamak, metni seslendirmek veya yazılmış bir metnin iletmek istediği şeyleri öğrenmek."
"conserve, preserve, maintain, keep up","keep in safety and protect from harm, decay, loss, or destruction","korumak, muhafaza etmek, bakmak, ilgilenmek","Bir şeyin eskimesini, yıpranmasını önlemek için gereken dikkat ve özeni göstermek"
"brow, forehead",the part of the face above the eyes,alın,"üzün, kaşlarla saçlar arasındaki bölümü."
cheek,either side of the face below the eyes,yanak,"Yüzün göz, kulak ve burun arasındaki bölümü."
"dry, dry out",become dry or drier,kurumak,"slaklığını, nemini yitirerek kuru duruma gelmek."
sun,a typical star that is the source of light and heat for the planets in the solar system,güneş,"Dünyanın da içinde bulunduğu Güneş sistemindeki gezegenlerin merkezinde yer alan, ısı ve ışık kaynağı büyük gök cismi."
"fir, fir tree, true fir",any of various evergreen trees of the genus Abies; chiefly of upland areas,"köknar, göknar, köknar ağacı, göknar ağacı","Çamgillerden, yüksek bölgelerde yetişen, iğne yaprakları kısa, yassı olan, reçineli ve kozalaklı bir orman ağacı."
"rock, sway, shake",move back and forth  or sideways,"sarsılmak, sallanmak",Birdenbire ve güçle kımıldamak.
"think, cogitate, cerebrate","use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments","düşünmek, kafa yormak, kafayı çalıştırmak, tasarlamak","Bir sonuca varmak amacıyla bilgileri incelemek, karşılaştırmak ve aradaki ilgilerden yararlanarak düşünce üretmek, zihinsel yetiler oluşturmak; muhakeme etmek."
"rock, sway",cause to move back and forth,"sarsmak, sallamak",Birdenbire ve güçle kıpırdatmak.
"round, circular",having a circular shape,yuvarlak,Top veya küre biçiminde olan.
"between, 'tween",in between,"arasında, arada"," İki şeyin ya da iki noktanın ortasında, bunlar arasında kalan mesafede veya konumda."
"find, regain",come upon after searching; find the location of something that was missed or lost,"bulmak, kavuşmak",Kaybedilen bir şeyi yeniden ele geçirmek.
"swamp, swampland",low land that is seasonally flooded; has more woody plants than a marsh and better drainage than a bog,bataklık,Çok derin olmayan sularla örtülü batak bölge.
chair,"a seat for one person, with a support for the back",sandalye,"Arkalıklı, kol koyacak yerleri olmayan, bir kişilik oturma eşyası."
familiar,well known or easily recognized,tanıdık,"Daha önceden bilinen, görülen, aşina olunan"
"history, account, chronicle, story",a record or narrative description of past events,"geçmiş, tarih, günlük",Bugüne göre geride kalmış olan zaman.
"mind, head, brain, psyche, nous",that which is responsible for one's thoughts and feelings; the seat of the faculty of reason,"akıl, zihin","Düşünme, anlama ve kavrama gücü."
"walk, take the air",take a walk; go for a walk; walk for pleasure,"yürümek, hava almak","Adım atarak ilerlemek, gitmek."
"calculate, cipher, cypher, compute, work out, reckon, figure",make a mathematical calculation or computation,hesaplamak,"Hesap işlemini yapmak, hesap etmek."
tea,a beverage made by steeping tea leaves in water,çay,Bu yaprağın demlenmesiyle elde edilen güzel kokulu ve sarımtırak kırmızı renkli içecek.
"floor, flooring",the inside lower horizontal surface (as of a room or hallway),"zemin, taban, yer","Üstü kapalı bir yerin gezinilen, ayakla basılan yüzü"
trail,a track or mark left by something that has passed,iz,Bir şeyin geçtiği veya önce bulunduğu yerde bıraktığı belirti.
"health, wellness",a healthy state of wellbeing free from disease,"sağlık, sıhhat","Bireyin fiziksel, sosyal ve ruhsal yönden tam bir iyilik durumunda olması, vücut esenliği."
water,a fluid necessary for the life of most animals and plants,su,"Hidrojenle oksijenden oluşan, sıvı durumunda bulunan, renksiz, kokusuz, tatsız madde."
disease,an impairment of health or a condition of abnormal functioning,"hastalık, rahatsızlık, dert, illet",Organizmada birtakım değişikliklerin ortaya çıkmasıyla sağlığın bozulması durumu.
"universe, existence, creation, world, cosmos, macrocosm",everything that exists anywhere,"evren, kainat,kozmoz, alem",Gök varlıklarının bütünü
"crawl, creep",move slowly; in the case of people or animals with the body near the ground,sürünmek,Karnı üzerinde sürünerek gitmek
"apt, clever",mentally quick and resourceful,"zeki, akıllı",Çabuk ve kolay kavrayan
grow,increase in size by natural process,büyümek,"Organizmanın bütününde veya bu bütünün bir bölümünde boyutlar artmak, irileşmek, eskisinden büyük duruma gelmek"
"ability, power",possession of the qualities (especially mental qualities) required to do something or get something done,"yetenek, kabiliyet, kapasite",ir kimsenin bir şeyi anlama veya yapabilme niteliği
"year, twelvemonth, yr",a period of time containing 365 (or 366) days,"yıl, on iki ay","Dünya'nın, Güneş çevresinde tam bir dolanım yapması için geçen 365 gün, 5 saat ve 49 dakikalık zaman."
"child, kid, youngster, minor, shaver, nipper, small fry, tiddler, tike, tyke, fry, nestling",a young person of either sex,"çocuk, evlat, yavru, velet, uşak",Bebeklik ile erginlik arasındaki gelişme döneminde bulunan oğlan veya kız.
tremble,move or jerk quickly and involuntarily up and down or sideways,"titremek, tirildemek",Küçük ve hızlı salınım hareketleri yapmak.
"shudder, shiver, throb, thrill","tremble convulsively, as from fear or excitement","titremek, ürpermek","Birinden veya bir şeyden korkmak, korkuya kapılmak."
"measure, mensurate, measure out","determine the measurements of something or somebody, take measurements of",ölçmek,"En, boy, hacim, süre gibi nicelikleri kendi cinslerinden seçilmiş bir birimle karşılaştırıp kaç birim geldiklerini belirtmek"
"son, boy",a male human offspring,"oğul, erkek çocuk",Erkek evlat.
dust,fine powdery material such as dry earth or pollen that can be blown about in the air,toz,Çok küçük parçacıklara bölünmüş olan herhangi bir madde.
air,a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of,hava,"Hava yuvarını oluşturan, bütün canlıların solunumuna yarayan, renksiz, kokusuz, akışkan gaz karışımı."
people,(plural) any group of human beings (men or women or children) collectively,"insanlar, kişiler, bireyler","Toplum hâlinde bir kültür çevresinde yaşayan, düşünme ve konuşma yeteneği olan, evreni bütün olarak kavrayabilen, bulguları sonucunda değiştirebilen ve biçimlendirebilen canlı."
"thread, yarn",a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving,iplik,"amuk, keten, yün, ipek, naylon vb. dokuma maddelerinin uzun, ince liflerinden her biri."
"body, organic structure, physical structure",the entire structure of an organism (especially an animal or human being),"vücut, beden","İnsan veya hayvanda beden, baş, kol ve bacakların oluşturduğu bütün."
"stir, shift, budge, agitate",move very slightly,"kaymak, çekilmek",Bir yüzey üzerinde sürtünerek kolayca yer değiştirmek.
"calendar month, month",one of the twelve divisions of the calendar year,"takvim, aylık takvim","Bir yılın günlerini, aylarını, sayılı günlerini gösteren, değişik biçimlerde yapılmış çizelge veya defter."
"january, jan",the first month of the year; begins 10 days after the winter solstice,ocak,Yılın birinci ayı
"earth, ground",the loose soft material that makes up a large part of the land surface,"toprak, zemin","Yer kabuğunun, toz durumuna gelmiş türlü kütle kırıntılarıyla, çürümüş organik cisimlerden oluşan ve canlılara yaşama ortamı sağlayan yüzey bölümü."
"stay, stay on, continue, remain","continue in a place, position, or situation","kalmak, konaklamak","Olduğu yeri ve durumu korumak, sürdürmek."
"february, feb",the month following January and preceding March,"şubat, küçük ay",Yılın ikinci ay
"march, mar",the month following February and preceding April,mart ,yılın üçüncü ayı
"april, apr",the month following March and preceding May,nisan,Yılın dördüncü ayı
may,the month following April and preceding June,mayıs,Yılın beşinci ayı.
"capture, catch","capture as if by hunting, snaring, or trapping",yakalamak,Kaçan bir kimseyi veya hayvanı ele geçirmek.
june,the month following May and preceding July,haziran,Yılın altıncı ayı.
july,the month following June and preceding August,"temmuz, orak ayı",Yılın yedinci ayı
tasty,pleasing to the sense of taste,lezzetli,Tadı güzel
"august, aug",the month following July and preceding September,ağustos,Yılın sekizinci ayı.
"hang, hang up",cause to be hanging or suspended,"asmak, sarkıtmak",Bir şeyi aşağıya sarkacak bir biçimde bir yere iliştirip sarkıtmak.
"september, sep, sept",the month following August and preceding October,"eylül, ilkgüz",Yılın dokuzuncu ayı
bitter,one of the four basic taste sensations; sharp and disagreeable; like the taste of quinine,"acı, acımsı, acımtırak, bitter",Tadı bu nitelikte olan; biberli.
hang,be suspended or hanging,asılmak,Bir şeyin aşağıya sarkacak bir biçimde bir yere iliştirip sarkıtılması.
"october, oct",the month following September and preceding November,ekim,Yılın onuncu ayı
"november, nov",the month following October and preceding December,kasım,Yılın on birinci ayı
"december, dec",the last (12th) month of the year,aralık,Yılın on ikinci ayı
crow,black birds having a raucous call,karga,"Kargagillerden, kanatları geniş, tüyleri kara renkte bir tür kuş (Corvus)."
win,be the winner in a contest or competition; be victorious,kazanmak,Kazanç sağlamak
spirit,the vital principle or animating force within living things,ruh,"Bedeni etkin kılan canlılık ilkesi, bedenin hayat gücü."
fat,having much flesh (especially fat),"şişman, kilolu",Deri altında fazla yağ toplanması sebebiyle vücudun her yanı şişkin görünen (kimse).
"ripen, mature",cause to ripen or develop fully,"olgunlaştırmak, erginleşmek, pişirmek",Olgun duruma getirmek.
"thin, lean",lacking excess flesh,"ince, zayıf",Kendi cinsinden olanlara göre dar ve kalınlığı az olan.
different,unlike in nature or quality or form or degree,"farklı, değişik",Aralarında fark bulunan
fork,cutlery used for serving and eating food,çatal,"Yemek yerken kullanılan iki, üç veya dört uzun dişli çoğunlukla metal araç."
walk,use one's feet to advance; advance by steps,yürümek,"""Adımlayarak ilerlemek."""
"ring, band",jewelry consisting of a circlet of precious metal (often set with jewels) worn on the finger,yüzük,Parmağa geçirilen genellikle metal halka.
turn,"change orientation or direction, also in the abstract sense",dönmek,Yönünü belli bir tarafa doğru çevirmek
"end, last, final stage",the concluding parts of an event or occurrence,"son, bitiş",bir şeyin en arkadan gelen bölümü.
"church, church building",a place for public (especially Christian) worship,kilise,Hristiyanların ibadet etmek için toplandıkları yer.
"bracing, brisk, energizing, energising, fresh, refreshing, refreshful, tonic",imparting vitality and energy,"canlandırıcı, enerji verici, taze, ferah, ferahlatıcı","Canlılık veren, canlılık kazandıran şey."
"digest, endure, stick out, stomach, bear, stand, tolerate, support, brook, abide, suffer, put up",put up with something or somebody unpleasant,"dayanmak, katlanmak, sabretmek, tahammül etmek","Hoş olmayan bir duruma, güç şartlara dayanmak, tahammül etmek."
other,not the same one or ones already mentioned or implied,"diğeri, diğer, öteki, öbürü",Sözü edilen veya benzer iki nesneden veya kimseden önem veya konum bakımından uzakta olan.
"deity, divinity, god, immortal",any supernatural being worshipped as controlling some part of the world or some aspect of life or who is the personification of a force,"tanrı, ölümsüz, ilah, yaratıcı","evrenin ve her şeyin yaratıcısı, koruyucusu, yöneticisi olduğuna ve birliğine inanılan yüce varlık,"
"filth, crud, skank",any substance considered disgustingly foul or unpleasant,"pislik, kir, pasak","Çirkin, sevimsiz olan; kendinde pislik olan veya pislenmiş olan "
"misfortune, bad luck, tough luck, ill luck",an unfortunate state resulting from unfavorable outcomes,"talihsizlik, bahtsızlık, kötü talih, şanssızlık, kötü şans, makus kader","Şanssız, bahtsız olma durumu"
raw,not treated with heat to prepare it for eating,çiğ,Pişmemiş veya az pişmiş.
"road, route",an open way (generally public) for travel or transportation,"yol, rota, güzergah","Karada, havada, suda bir yerden bir yere gitmek için aşılan uzaklık"
meat,the flesh of animals (including fishes and birds and snails) used as food,et,Kasaplık hayvanlardan sağlanan kaslardan oluşmuş besin maddesi.
"put, set, place, pose, position, lay",put into a certain place or abstract location,"koymak, yerleştirmek, yerine koymak","Bir şeyi bir yere bırakmak, belli bir yere yerleştirmek"
"male child, boy",a youthful male person,"erkek çocuk, oğlan",genç erkek birey
"medicine, medication, medicament, medicinal drug",(medicine) something that treats or prevents or alleviates the symptoms of disease,ilaç,Bir hastalığı iyi etmek veya önlemek için türlü yollarla kullanılan madde
"pile, heap, mound, agglomerate, cumulation, cumulus",a collection of objects laid on top of each other,yığın,"Bir şeyin yığılmasıyla oluşturulan küme, tepe."
steal,take without the owner's consent,"çalmak, aşırmak, tüydürmek",Başkasının malını gizlice almak.
damage,inflict damage upon,"zarar vermek, hasar vernek, hasara uğratmak","kötülüğü dokunmak, kötülük etmek."
"choose, take, select, pick out","pick out, select, or choose from a number of alternatives","seçmek, tercih etmek",Benzerleri arasında hoşa gideni seçip almak veya yararlanmak için ayırmak.
"repair, mend, fix, bushel, doctor, furbish up, restore, touch on",restore by replacing a part or putting together what is torn or broken,"tamir etmek, düzeltmek, onarmak","Bozulmuş, eskimiş olan bir şeyi düzeltip işler veya kullanılır duruma sokmak, işe yarar duruma getirmek."
"man, adult male",an adult person who is male (as opposed to a woman),"adam, yetişkin erkek, erkek",Erkek kişi; herif.
thick,not thin; of a specific thickness or of relatively great extent from one surface to the opposite usually in the smallest of the three solid dimensions,kalın,"Etli, dolgun olan veya cisimlerde uzunluk ve genişlik dışında üçüncü boyutu çok olan (cisim), ince karşıtı."
sad,experiencing or showing sorrow or unhappiness,üzgün,"Üzülmüş, üzüntü duymuş."
grain,1/7000 pound; equals a troy grain or 64.799 milligrams,"tahıl, granül","Buğday, arpa, mısır, yulaf, çavdar, pirinç vb. hasat edilen ürünler ile tohumlarının genel adı; hububat."
thin,of relatively small extent from one surface to the opposite or in cross section,ince," Kendi cinsinden olanlara göre dar ve kalınlığı az olan; cılız, narin, kalın karşıtı"
hare,swift timid long-eared mammal larger than a rabbit having a divided upper lip and long hind legs; young born furred and with open eyes,"ada tavşanı, yaban tavşanı","Evcil cinsleri de olan, tavşana yakın bir kemirici memeli; yaban tavşanı (Oryctolagus cuniculus)."
fine,thin in thickness or diameter,ince,"Akışkanlığı çok olan, yoğun ve koyu olmayan (sıvılar) veya özenilerek yapılmış uğraş veya cinslerine göre kalın olmayan."
"piece, slice",a serving that has been cut from a larger portion,dilim,"Bir bütünden kesilmiş veya ayrılmış ince, yassı parça."
fat,a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides),yağ,"ağır hidrokarbonlardan ya da karmaşık gliserinler karışımından oluşan ve oda sıcaklığında genellikle akışkan durumda bulunan mineral, hayvansal ya da bitkisel kaynaklı madde."
"companion, comrade, fellow, familiar, associate",a person who is frequently in the company of another,"eşlikçi, arkadaş, dost, yoldaş, ortak",Birbirlerine karşı sevgi ve anlayış gösteren kimselerden her biri.
"misplace, mislay, lose",place (something) where one cannot find it again,"kaybetmek, yitirmek","Ne olduğunu, nerede bulunduğunu bilememek"
campfire,a small outdoor fire for warmth or cooking (as at a camp),GAP,
"gay, jocund, jolly, jovial, merry, mirthful",full of or showing high-spirited merriment,"şen, şenşakrak, neşeli",Yaşamaktan mutlu olduğunu davranışlarıyla belli eden.
"family, family unit",primary social group; parents and children,"aile, ev, familya","Aynı soydan gelen veya aralarında akrabalık ilişkileri bulunan kimselerin tümü; temel niteliği bir olan dil, hayvan veya bitki topluluğu"
"flower, bloom, blossom",reproductive organ of angiosperm plants especially one having showy or colorful parts,çiçek,"Bir bitkinin, üreme organlarını taşıyan çoğu güzel kokulu, renkli bölümü."
"dense, heavy, impenetrable",permitting little if any light to pass through because of denseness of matter,"yoğun, ağır",Hacmine oranla ağırlığı çok olan; kesif.
mouse,any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails,fare,"Sıçangillerden, küçük vücutlu, kemirgen, memeli hayvan (Mus)."
believe,accept as true; take to be true,inanmak,"Bir şeyi doğru olarak benimsemek; bir şeyin varlığını, doğruluğunu kabul etmek"
roof,a protective covering that covers or forms the top of a building,çatı,"Bir yapının, bir evin damını kuran parçaların bütünü."
"climb, climb up, mount, go up",go upward with gradual or continuous progress,tırmanmak,El ve ayaklarıyla tutunarak veya tırnaklarını iliştirerek dik bir yere çıkmak.
"fall, autumn",the season when the leaves fall from the trees,"sonbahar, güz","uzey yarım kürede 24 Eylül-21 Aralık, güney yarım kürede 21 Haziran-23 Eylül tarihleri arasındaki zaman dilimi, yazla kış arasındaki mevsim."
"summer, summertime",the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox,yaz,"Kuzey yarım kürede 21 Haziran 23 Eylül, güney yarım kürede 21 Aralık 21 Mart tarihleri arasındaki zaman dilimi, ilkbaharla sonbahar arasındaki sıcak mevsim."
"spring, springtime",the season of growth,"ilkbahar, bahar, ilkyaz","Kuzey yarım kürede 21 Mart-21 Haziran arası, güney yarım kürede 24 Eylül-21 Aralık tarihleri arsındaki zaman dilimi, kışla yaz arasındaki mevsim."
"correct, right",free from error; especially conforming to fact or truth,TRUE,"Gerçek, yalan olmayan"
"winter, wintertime",the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox,kış,"Kuzey yarım kürede 22 Aralık-21 Mart, güney yarım kürede 21 Haziran-23 Eylül tarihleri arasındaki zaman dilimi, sonbaharla ilkbahar arasındaki soğuk mevsim"
"rain, rain down",precipitate as rain,GAP,
grass,narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay,"çim, çimen","Buğdaygillerden, bahçelerin, yol kenarlarının ve parkların yeşillendirilmesinde yararlanılan çok yıllık bitki (Lolium)."
"wealth, wealthiness",the state of being rich and affluent; having a plentiful supply of material goods and money,zenginlik,Zengin olma durumu
row,an arrangement of objects or people side by side in a line,"sıra, dizi","Yan yana, art arda olan şey, olay veya canlıların tümü."
run,"move fast by using one's feet, with one foot off the ground at any given time","koşmak, seyirtmek",Adım atışlarını artırarak ileri doğru hızla gitmek
"ignite, light",cause to start burning; subject to fire or great heat,"ateşlemek, yakmak",Bir şeyi tutuşturup yakmak
fur,a garment made of the dressed hairy coat of a mammal,kürk,"Bazı hayvanların, giyecek yapmak için işlenmiş postu"
"celebrated, famed, far-famed, famous, illustrious, notable, noted, renowned",widely known and esteemed,"ünlü, meşhur, seçkin,tanınmış, şanlı","Herkesçe bilinen, ün salmış olan."
"flip, toss, sky, pitch",throw or toss with a light motion,GAP,
bright,emitting or reflecting light readily or in large amounts,parlak,"Parlayan, ışıldayan, pırıltılı olan."
hair,a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss,saç,Baş derisini kaplayan kıllar.
step,shift or move by taking a step,"basmak, adım atmak",Vücudun ağırlığını verecek bir biçimde ayak tabanını bir yere veya bir şeyin üzerine koymak veya yürümek için bir ayağını öne doğru uzatıp yere basmak.
first,preceding all others in time or space or degree,ilk,"Zaman, sıra, yer ve önem bakımından ötekilerden önce gelen."
"sin, sinning",an act that is regarded by theologians as a transgression of God's will,günah,Dinî bakımdan suç sayılan iş veya davranış.
"drive, motor",travel or be transported in a vehicle,sürmek,"At, araba vb. için yönetip yürütmek, sevk etmek."
"shine, beam","emit light; be bright, as of the sun or a light","parıldamak, parlamak",Bir ışık kaynağından gelen ışınları yansıtmak veya ışık saçmak
last,coming after all others in time or space or degree or being the only one remaining,son,"Şimdiki zamana en yakın zamandan beri olan veya bu zamanda yapılmış, olmuş olan"
protect,"shield from danger, injury, destruction, or damage",korumak,"Bir kimseyi veya bir şeyi dış etkilerden, tehlikeden, zor bir durumdan uzak tutmak."
towel,a rectangular piece of absorbent cloth (or paper) for drying or wiping,havlu,Vücudun çeşitli yerlerinin kurulanmasına yarayan dokuma bez.
"dirt, filth, grime, soil, stain, grease, grunge",the state of being covered with unclean things,"kir, pis,  pislik, kir pas, toz toprak, leke, toprak","Herhangi bir şeyin veya vücudun üzerinde oluşan, biriken pislik"
"forest, wood, woods",the trees and other plants in a large densely wooded area,"orman, koru",Ağaçlarla örtülü geniş alan
seed,a mature fertilized plant ovule consisting of an embryo and its food source and having a protective coat or testa,"tohum, ekecek",Bitkilerde döllenme sonunda yumurtacıktan oluşan ve yeni bir bitki oluşmasını sağlayan tane.
"erstwhile, former, old, onetime, quondam, sometime",belonging to some prior time,"eskiden, bir zamanlar, önceden","Geçmiş zamanlarda, geçmiş çağlarda"
"reflect, shine",be bright by reflecting or casting light,"yansıtmak, aksettirmek","(parlak cisim, yüzey vb.) Üzerine düşen ışığı, sesi vb.ni geri çevirmek"
"defend, guard, hold",protect against a challenge or attack,savunmak,"Herhangi bir saldırıya karşı koymak, birini veya bir yeri saldırıya karşı korumak."
"fume, smoke",emit a cloud of fine particles,tütmek, Duman veya buhar çıkarmak
"one-half, half",one of two equal parts of a divisible whole,yarım,Bütün bir şeyin ayrıldığı iki eşit parçadan her biri
glass,a brittle transparent solid with irregular atomic structure,"cam, sırça","Soda veya potas katılmış silisli kumun ateşte eritilmesiyle yapılan sert, saydam ve çabuk kırılır cisim"
dye,color with dye,boyamak,Boya sürerek veya boyaya batırarak renk vermek.
"large, big",above average in size or number or quantity or magnitude or extent,"büyük, iri","Olağandan daha hacimli, olağanı aşan büyüklüğü olan"
blow,be blowing or storming,esmek, Hava bir yönden bir yöne akmak.
"beard, face fungus, whiskers",the hair growing on the lower part of a man's face,sakal,Yetişkin erkeklerde yanak ve alt çenede çıkan kılların tüm.
"mustache, moustache",an unshaved growth of hair on the upper lip,bıyık,Üst dudak üzerinde çıkan kıllar.
"wind, wrap, roll, twine",wrap or coil around,"sarmak, dolamak, rulo yapmak",Çevresini çevirmek
"fly, wing",travel through the air; be airborne,uçmak,havada yol almak
"swarm, cloud",a group of many insects,GAP,
"barely, hardly, just, scarcely, scarce",by a small margin,"ucundan,  ucu ucuna, ancak, zar zor","az, biraz, yetersiz"
"eagle, bird of jove",any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight,kartal,"Kartalgillerden, genellikle kızıl siyah tüylü, çok güçlü, yuvasını yüksek kayalıklar üzerinde kuran, iri, yırtıcı bir tür kuş (Aquila)"
"shoot, hit, pip",hit with a missile from a weapon,"ateş etmek, vurmak",ateşli silahlarla mermi atmak
"sack, poke, paper bag, carrier bag",a bag made of paper or plastic for holding customer's purchases,"kese, kese kağıdı, poşet, torba","Genellikle plastikten veya kâğıttan yapılmış, içine öteberi koymaya yarayan, çeşitli büyüklükte olabilen taşıma gereci"
"diligent, persevering",quietly and steadily persevering especially in detail or exactness,"gayretli, azimli, özenli","Özenle çalışan, çaba gösteren (kimse)."
"faineant, indolent, lazy, otiose, slothful, work-shy",disinclined to work or exertion,"tembel, üşengeç, iş bilmez","çalışmayı sevmeyen, çaba göstermekten, sıkıntıdan kaçan (kimse)"
"dangerous, grave, grievous, serious, severe, life-threatening",causing fear or anxiety by threatening great harm,"tehlikeli, zararlı, ağır, vahim, ciddi, ölümcül, öldürücü, şiddetli",ehlikeli ve endişe verici olan
mirror,polished surface that forms images by reflecting light,ayna,"Işığı yansıtan, varlıkların görüntüsünü veren, cilalı ve sırlı cam"
"lodge, wedge, stick, deposit","fix, force, or implant",saplamak,Hızla batırmak
fish,catch or try to catch fish or shellfish,"balığa çıkmak, balık tutmak",balık avlamaya gitmek
"small, little",limited or below average in number or quantity or magnitude or extent,"küçük, minik, küçücük","Boyutları, benzerlerininkinden daha ufak olan"
"bone, os",rigid connective tissue that makes up the skeleton of vertebrates,kemik,İnsanın ve omurgalı hayvanların çatısını oluşturan türlü biçimdeki sert organların genel adı.
trap,a device in which something (usually an animal) can be caught and penned,tuzak,Kuş veya yaban hayvanlarını yakalamaya yarayan araç veya düzenek veya birini güç ve tehlikeli bir duruma düşürmek için kurulan düzen
row,propel with oars,kürek çekmek,deniz teknesini yürütmek için küreği kullanmak
"entirely, exclusively, solely, alone, only",without any others being included or involved,"yalnız, yalnızca, sadece",Belirtilenden başkası bulunmadan
squirrel,a kind of arboreal rodent having a long bushy tail,sincap,"Sincapgillerden, ağaçlarda yaşayan, genellikle meyveyle beslenen, çok tüylü, uzun kuyruklu, ince gövdeli bir hayvan"
