Lemma,Gloss,Turkish lemmas (or gap),Target Gloss
bow,curved piece of resilient wood with taut cord to propel arrows,yay,"Ok atmaya yarayan, iki ucu arasına kiriş gerilmiş, eğri ağaç veya metal çubuk."
"cry, weep","shed tears because of sadness, rage, or pain","ağlamak, zırlamak","Üzüntü, acı, sevinç, pişmanlık vb.nin etkisiyle gözyaşı dökmek"
"war, warfare",the waging of armed conflict against an enemy,"savaş, harp",mücadele
"at a time, at once, at one time",simultaneously,"bir sefer, tek sefer, aynı anda, birden", Aynı zamanda oluşan.
kill,"cause the death of, without intention",öldürmek,Bir canlının hayatına son vermek.
"convey, impart","make known; pass on, of information","iletmek, aktarmak","Bir konu, haber vb.ni iletmek, bildirmek"
"show, show up",be or become visible or noticeable,"ortaya çıkmak, çıkagelmek, belli olmak","yokken var olmak, meydana çıkmak; kendini göstermek"
box,a (usually rectangular) container; may have a lid,kutu,"İnce tahta, mukavva, teneke, plastik vb.nden yapılmış, genellikle kapaklı kap."
sing,produce tones with the voice,şarkı söylemek,belirli bir besteye göre güfteyi uyumlu olarak okumak.
work,activity directed toward making or doing something,çalışma,"Bir sonuç elde etmek, herhangi bir şey ortaya koymak için güç harcayarak yapılan etkinlik."
"sew, run up, sew together, stitch",fasten by sewing; do needlework,"dikmek, dikivermek, birlikte dikmek, dikiş dikmek, dikiş yapmak","Biçilmiş veya yırtılmış kumaş, deri, yara vb.ni iğneye geçirilmiş iplikle tutturmak."
"company, companionship, fellowship, society",the state of being with someone,"eşlik, arkadaşlık, dostluk, yoldaş, yoldaşlık","Birlikte, beraber olma durumu."
conversation,the use of speech for informal exchange of views or ideas or information etc.,"konuşma, görüşme","Bir iş, bir konu üzerinde karşılıklı görüş ileri sürmek; müzakere etmek."
"grandfather, gramps, granddad, grandad, granddaddy, grandpa",the father of your father or mother,"dede, büyükbaba, büyükpeder",Torunu olan erkek.
"grandma, grandmother, granny, grannie, gran",the mother of your father or mother,"anneanne, babaanne, büyükanne",Annenin annesi; babanın annesi.
"hide, conceal",prevent from being seen or discovered,"saklanmak, gizlemek, gizlenmek",Kendini veya bir şeyi saklamak.
staff,a strong rod or stick with a specialized utilitarian purpose,sopa,Kalın değnek.
"tire, wear upon, tire out, wear, weary, jade, wear out, outwear, wear down, fag out, fag, fatigue",exhaust or get tired through overuse or great strain or stress,"yorulmak, yıpranmak, pestilini çıkarmak, bitkin düşümek, sucuğunu çıkarmak, bezmek, usanmak, tükenmek, cıcığını çıkarmak, haşat olmak, canı çıkmak","Güçsüzleşmek, bitkinleşmek, yılgınlaşmak."
"glue, paste",join or attach with or as if with glue,"yapıştırmak, zamklamak",Yapışkan bir maddeye bulanmış olan bir şeyi ayrılmayacak bir biçimde bir yere tutunup kalması.
"alone, solo, unaccompanied",without anybody else,"yalnız, tek başına, refakatsiz",Yanında başkaları bulunmayan.
cover,provide with a covering or cause to be covered,"kaplamak, örtmek","Her yanını örtmek, çepeçevre sarmak."
"deceive, lead on, delude, cozen",be false to; be dishonest with,"aldatmak, kandırmak, dolandırmak",Beklenmedik bir davranışla yanıltmak.
ail,"be unwell, ill, or ill disposed",hastalanmak,"Sağlığı bozulmak, esenliği yerinde olmamak."
